,Unnamed: 0,0
622,622,Pembroke-Welsh-Corgi-Crossbreed
623,623,"Schnauzer,-Miniature-Crossbreed"
624,624,Bichon-Frise-Crossbreed
625,625,Pumi
626,626,Grand-Basset-Griffon-Vendeen
627,627,Miniature-Fox-Terrier
628,628,Japanese-Spitz
629,629,Jack-Russell-Terrier-Crossbreed
630,630,French-Spaniel
631,631,Bloodhound-Crossbreed
632,632,Shiba-Inu-Crossbreed
633,633,Hamiltonstovare
634,634,Rat-Terrier-Crossbreed
635,635,Afghan-Hound-Crossbreed
636,636,Finnish-Lapphund
637,637,Swedish-Vallhund
638,638,Neapolitan-Mastiff
639,639,Icelandic-Sheepdog
640,640,Brussels-Griffon-Crossbreed
641,641,Belgian-Laekenois
642,642,Estrela-Mountain-Dog
643,643,Pomsky
644,644,Miniature-Australian-Shepherd
645,645,Beauceron
646,646,Jagdterrier
647,647,Shepard-Crossbreed
648,648,Azawakh
649,649,Mountain-Feist
650,650,English-Setter-Crossbreed
651,651,Baladi
652,652,Tosa
653,653,Stabyhoun
654,654,Basset-Hound-Crossbreed
655,655,Dalmatian-Mix
656,656,"Coonhound,-Redbone"
657,657,Irish-Water-Spaniel
658,658,Patterdale-Terrier
659,659,Kishu-Ken
660,660,Swedish-Lapphund
661,661,Greek-Shephard
662,662,Alaskan-Klee-kai
663,663,Olde-English-Bulldogge
664,664,Tornjak
665,665,Not-Provided
666,666,CAVACHON
667,667,SHAR-PEI
668,668,Terrier-X
669,669,Zuchon
670,670,Giant-Schnoodle
671,671,COCKAPOO
672,672,AM-STAFFORD-TERRIER-MIX
673,673,MIXED-HOUND
674,674,English-Golden-Doodle
675,675,TOY-AUSTRALIAN-SHEPHERD
676,676,Mixed-Breed
677,677,SHIHPOO
678,678,Husky-Mixed
679,679,TEDDY-BEAR
680,680,MALTI-ZU
681,681,Mi-Ki
682,682,Terrier-mixed
683,683,Basset/Beagle-Mix
684,684,TERRIER-X
685,685,MINI-PINSCHER
686,686,HOUND-MIXED
687,687,Red-Nose-Pit-Bull
688,688,CAVAPOO
689,689,MINI-DACHSHUND
690,690,Welsh--Springer-Spaniel
691,691,Cattle-Dog---Blue-Healer
692,692,Labrador--Pointer-Mixed
693,693,"shepherd,-terrier,-mastiff-mix"
694,694,Blue-Merle-Sheltie
695,695,Yellow-Labrador
696,696,Norkie
697,697,Unknown-(stray)
698,698,COCKER-POO
699,699,boerboel
700,700,morkie
701,701,Terrier-and-Chihuahua-mix-maybe
702,702,MORKIE
703,703,American-Bulldog
704,704,Yorkie-Poo
705,705,Pyrenees-Poodle-Mix
706,706,Black-Lab-mix
707,707,yorkiepoo
708,708,Crossbreed
709,709,ALASKAN-KLEE-KAI
710,710,Australian-Shepherd-Mix
711,711,Chorkie
712,712,HOUND-MIX
713,713,UNKNOWN-BREED?
714,714,rat-terrier
715,715,miniature-poodle-/-cocker-spaniel
716,716,Wheaton-Mix
717,717,PIT-BULL-MIX
718,718,Doxie
719,719,Chow-Chow-Mix
720,720,YORKIE/CHIHUAHUA
721,721,Labrador---Pit-Bull-Mix
722,722,Schnauzer-Mix
723,723,HAVAPOO
724,724,Hound-mix
725,725,Toy-Australian-Shepherd
726,726,SHIH-POO
727,727,Labrador-Retrieve-Mix
728,728,Mini-Dachshund
729,729,BL-NS-PIT-BULL
730,730,Cock-A-Poo
731,731,ENGLISH-COCKER-SPANIEL
732,732,AM-STAFF-TER-X
733,733,YORKIE-SHIH-TZU
734,734,S.C.WHEATEN-TER
735,735,MALTEPOO
736,736,SHEPARD-MIX
737,737,Bull-Dog/Sher-pei-Mixed
738,738,TERRIER-MIX
739,739,AM-TERRIER
740,740,POOCHON
741,741,MUTT
742,742,Havanese/Chihuahua
743,743,Jack-Russell-Terrier--Chihuahua-Mix
744,744,Shorkie
745,745,Collie-Shepherd-Mix
746,746,Shih-tzo-mix
747,747,Chow-Chow-X
748,748,pit-bull-mix
749,749,dachshund-mix
750,750,UNKNOWN
751,751,Boston-Terrier-Beagle
752,752,Miniature-Pin-Mix
753,753,Boston-Terrier-Mix
754,754,PIT-BULL-X
755,755,CHIHUAHUA-MIX
756,756,unknown
757,757,Cocker-Pug
758,758,Terrier-/-Hound
759,759,Mini-Shepherd-X
760,760,AMERICAN-BULLDOG
761,761,ENGLISH-MASTIFF
762,762,canine
763,763,Mini-Pinscher-Mixed
764,764,Beagle/Hound-Mix
765,765,YORKI-POO
766,766,"rabies,bordetella"
767,767,MANCHESTER-TERRIER
768,768,Peekapoo
769,769,COTON-DE-TULEAR
770,770,SHIMALT
771,771,Havenese-Poodle
772,772,Bichon-Poodle
773,773,SHORKIE
774,774,Malchi
775,775,YORKIE-BICHON
776,776,Rat-Terrier-X
777,777,Cigi
778,778,BRINDLE-PIT-BULL
779,779,Malagasssy-coton-du-tulear
780,780,HUSKY-MIX
781,781,LAB/CHOW-CHOW
782,782,cockapoo
783,783,"Vizsla,-mini-pin"
784,784,Malti-Poo
785,785,CAV-KING-C.SPAN
786,786,Hound-Cattle-Dog
